[--- TRAINING ---]
@010:   loss(train)=0.5784      loss(eval)=0.5795       f1(train)=0.7310        f1(eval)=0.7150         duration(epoch)=0:00:41.129510
@011:   loss(train)=0.5750      loss(eval)=0.5766       f1(train)=0.7318        f1(eval)=0.7165         duration(epoch)=0:00:41.234590
@012:   loss(train)=0.5725      loss(eval)=0.5761       f1(train)=0.7342        f1(eval)=0.7214         duration(epoch)=0:00:40.735478
@013:   loss(train)=0.5744      loss(eval)=0.5796       f1(train)=0.7342        f1(eval)=0.7069         duration(epoch)=0:00:40.256282
@014:   loss(train)=0.5736      loss(eval)=0.5775       f1(train)=0.7356        f1(eval)=0.7191         duration(epoch)=0:00:40.128777
@015:   loss(train)=0.5697      loss(eval)=0.5844       f1(train)=0.7375        f1(eval)=0.7188         duration(epoch)=0:00:40.093060
@016:   loss(train)=0.5725      loss(eval)=0.5779       f1(train)=0.7417        f1(eval)=0.7192         duration(epoch)=0:00:39.911272
@017:   loss(train)=0.5682      loss(eval)=0.5787       f1(train)=0.7441        f1(eval)=0.7257         duration(epoch)=0:00:39.730666
@018:   loss(train)=0.5650      loss(eval)=0.5758       f1(train)=0.7483        f1(eval)=0.7267         duration(epoch)=0:00:39.774196
@019:   loss(train)=0.5638      loss(eval)=0.5787       f1(train)=0.7493        f1(eval)=0.7098         duration(epoch)=0:00:39.561633
@020:   loss(train)=0.5638      loss(eval)=0.5815       f1(train)=0.7498        f1(eval)=0.7008         duration(epoch)=0:00:39.864003
Early stopping interrupted training.
Load best model based on evaluation loss.
@007:   loss(train)=0.5861      loss(eval)=0.5757       f1(train)=0.7224        f1(eval)=0.7171         duration(epoch)=0:00:40.263563

[--- METRIC ---]
AVG              tp:     4603    fp:     1728    tn:     4600    fn:     1728    prec=0.7271     rec=0.7271      f1=0.7271       acc=0.7270
Neutral          tp:     2003    fp:      665    tn:     2000    fn:     1063    prec=0.7507     rec=0.6533      f1=0.6986       acc=0.6985
Non-Neutral      tp:     2600    fp:     1063    tn:     2600    fn:      665    prec=0.7098     rec=0.7963      f1=0.7506       acc=0.7506
[--- TRAINING ---]
@001: 	loss(train)=0.6942 	loss(eval)=0.6938 	f1(train)=0.4711 	f1(eval)=0.4838 	duration(epoch)=0:00:41.528374
@002: 	loss(train)=0.6514 	loss(eval)=0.6122 	f1(train)=0.6369 	f1(eval)=0.6826 	duration(epoch)=0:00:41.331441
@003: 	loss(train)=0.6101 	loss(eval)=0.5894 	f1(train)=0.6933 	f1(eval)=0.7014 	duration(epoch)=0:00:41.263560
@004: 	loss(train)=0.5963 	loss(eval)=0.5824 	f1(train)=0.7101 	f1(eval)=0.7132 	duration(epoch)=0:00:41.463594
@005: 	loss(train)=0.5910 	loss(eval)=0.5840 	f1(train)=0.7138 	f1(eval)=0.7138 	duration(epoch)=0:00:41.406387
@006: 	loss(train)=0.5955 	loss(eval)=0.5806 	f1(train)=0.7118 	f1(eval)=0.7176 	duration(epoch)=0:00:41.209076
@007: 	loss(train)=0.5872 	loss(eval)=0.5778 	f1(train)=0.7180 	f1(eval)=0.7105 	duration(epoch)=0:00:41.141008
@008: 	loss(train)=0.5824 	loss(eval)=0.5786 	f1(train)=0.7220 	f1(eval)=0.7116 	duration(epoch)=0:00:40.975340
@009: 	loss(train)=0.5815 	loss(eval)=0.5761 	f1(train)=0.7262 	f1(eval)=0.7230 	duration(epoch)=0:00:40.990034
@010: 	loss(train)=0.5794 	loss(eval)=0.5783 	f1(train)=0.7279 	f1(eval)=0.7117 	duration(epoch)=0:00:41.094512
@011: 	loss(train)=0.5749 	loss(eval)=0.5787 	f1(train)=0.7316 	f1(eval)=0.7224 	duration(epoch)=0:00:41.742446
@012: 	loss(train)=0.5737 	loss(eval)=0.5753 	f1(train)=0.7350 	f1(eval)=0.7218 	duration(epoch)=0:00:42.031000
@013: 	loss(train)=0.5765 	loss(eval)=0.5792 	f1(train)=0.7359 	f1(eval)=0.7088 	duration(epoch)=0:00:42.121648
@014: 	loss(train)=0.5734 	loss(eval)=0.5826 	f1(train)=0.7383 	f1(eval)=0.7192 	duration(epoch)=0:00:40.873633
@015: 	loss(train)=0.5693 	loss(eval)=0.5738 	f1(train)=0.7387 	f1(eval)=0.7186 	duration(epoch)=0:00:40.922030
@016: 	loss(train)=0.5696 	loss(eval)=0.5748 	f1(train)=0.7429 	f1(eval)=0.7227 	duration(epoch)=0:00:40.828354
@017: 	loss(train)=0.5681 	loss(eval)=0.5749 	f1(train)=0.7428 	f1(eval)=0.7235 	duration(epoch)=0:00:40.501134
@018: 	loss(train)=0.5653 	loss(eval)=0.5756 	f1(train)=0.7476 	f1(eval)=0.7210 	duration(epoch)=0:00:40.253664
@019: 	loss(train)=0.5653 	loss(eval)=0.5759 	f1(train)=0.7452 	f1(eval)=0.7213 	duration(epoch)=0:00:40.018971
@020: 	loss(train)=0.5644 	loss(eval)=0.5735 	f1(train)=0.7474 	f1(eval)=0.7171 	duration(epoch)=0:00:40.155446
@021: 	loss(train)=0.5602 	loss(eval)=0.5784 	f1(train)=0.7524 	f1(eval)=0.7212 	duration(epoch)=0:00:40.577314
@022: 	loss(train)=0.5628 	loss(eval)=0.5761 	f1(train)=0.7524 	f1(eval)=0.7235 	duration(epoch)=0:00:40.830629
@023: 	loss(train)=0.5596 	loss(eval)=0.5823 	f1(train)=0.7543 	f1(eval)=0.7161 	duration(epoch)=0:00:40.773043
@024: 	loss(train)=0.5605 	loss(eval)=0.5796 	f1(train)=0.7561 	f1(eval)=0.7154 	duration(epoch)=0:00:40.190021
@025: 	loss(train)=0.5561 	loss(eval)=0.5769 	f1(train)=0.7597 	f1(eval)=0.7184 	duration(epoch)=0:00:40.432790
@026: 	loss(train)=0.5554 	loss(eval)=0.5814 	f1(train)=0.7616 	f1(eval)=0.7126 	duration(epoch)=0:00:40.149000
@027: 	loss(train)=0.5531 	loss(eval)=0.5881 	f1(train)=0.7631 	f1(eval)=0.7145 	duration(epoch)=0:00:39.957889
@028: 	loss(train)=0.5535 	loss(eval)=0.5772 	f1(train)=0.7672 	f1(eval)=0.7236 	duration(epoch)=0:00:39.970287
@029: 	loss(train)=0.5510 	loss(eval)=0.5773 	f1(train)=0.7682 	f1(eval)=0.7231 	duration(epoch)=0:00:40.282654
Early stopping interrupted training.
Load best model based on evaluation loss.
@020: 	loss(train)=0.5644 	loss(eval)=0.5735 	f1(train)=0.7474 	f1(eval)=0.7171 	duration(epoch)=0:00:40.155446

[--- METRIC ---]
