[--- TRAINING ---]
[--- @01:        loss(train)=0.6415      f1(train)=0.6680        f1(eval)=0.6509         time(epoch)=0:00:37.633795 ---]
[--- @02:        loss(train)=0.6252      f1(train)=0.6975        f1(eval)=0.6819         time(epoch)=0:00:37.342080 ---]
[--- @03:        loss(train)=0.6143      f1(train)=0.6989        f1(eval)=0.6857         time(epoch)=0:00:46.336793 ---]
[--- @04:        loss(train)=0.6087      f1(train)=0.7020        f1(eval)=0.6849         time(epoch)=0:00:46.629569 ---]
[--- @05:        loss(train)=0.6022      f1(train)=0.7075        f1(eval)=0.6884         time(epoch)=0:00:46.797524 ---]
[--- @06:        loss(train)=0.5985      f1(train)=0.7044        f1(eval)=0.6893         time(epoch)=0:00:46.811081 ---]
[--- @07:        loss(train)=0.5929      f1(train)=0.7060        f1(eval)=0.6871         time(epoch)=0:00:47.028784 ---]
[--- @08:        loss(train)=0.5879      f1(train)=0.7175        f1(eval)=0.7035         time(epoch)=0:00:46.787617 ---]
[--- @09:        loss(train)=0.5796      f1(train)=0.7164        f1(eval)=0.6994         time(epoch)=0:00:46.856733 ---]
[--- @10:        loss(train)=0.5755      f1(train)=0.7182        f1(eval)=0.6975         time(epoch)=0:00:47.977756 ---]
[--- @11:        loss(train)=0.5709      f1(train)=0.7299        f1(eval)=0.7067         time(epoch)=0:00:48.011427 ---]
[--- @12:        loss(train)=0.5675      f1(train)=0.7231        f1(eval)=0.6945         time(epoch)=0:00:48.053055 ---]
[--- @13:        loss(train)=0.5655      f1(train)=0.7374        f1(eval)=0.7105         time(epoch)=0:00:47.849795 ---]
[--- @14:        loss(train)=0.5594      f1(train)=0.7347        f1(eval)=0.7065         time(epoch)=0:00:47.688044 ---]
[--- @15:        loss(train)=0.5578      f1(train)=0.7422        f1(eval)=0.7068         time(epoch)=0:00:47.643727 ---]
[--- @16:        loss(train)=0.5521      f1(train)=0.7435        f1(eval)=0.7103         time(epoch)=0:00:48.098564 ---]
[--- @17:        loss(train)=0.5488      f1(train)=0.7417        f1(eval)=0.7051         time(epoch)=0:00:48.011102 ---]
[--- @18:        loss(train)=0.5465      f1(train)=0.7425        f1(eval)=0.6985         time(epoch)=0:00:49.146605 ---]
[--- @19:        loss(train)=0.5419      f1(train)=0.7557        f1(eval)=0.7098         time(epoch)=0:00:48.479394 ---]
[--- @20:        loss(train)=0.5366      f1(train)=0.7614        f1(eval)=0.7109         time(epoch)=0:00:47.903535 ---]
[--- @21:        loss(train)=0.5376      f1(train)=0.7633        f1(eval)=0.6993         time(epoch)=0:00:47.916274 ---]
[--- @22:        loss(train)=0.5309      f1(train)=0.7640        f1(eval)=0.7078         time(epoch)=0:00:48.365906 ---]
[--- @23:        loss(train)=0.5275      f1(train)=0.7694        f1(eval)=0.7128         time(epoch)=0:00:48.286837 ---]
[--- @24:        loss(train)=0.5213      f1(train)=0.7691        f1(eval)=0.7012         time(epoch)=0:00:47.865102 ---]
[--- @25:        loss(train)=0.5191      f1(train)=0.7769        f1(eval)=0.7048         time(epoch)=0:00:47.515832 ---]
[--- @26:        loss(train)=0.5083      f1(train)=0.7750        f1(eval)=0.6956         time(epoch)=0:00:47.229503 ---]
[--- @27:        loss(train)=0.5027      f1(train)=0.7904        f1(eval)=0.7012         time(epoch)=0:00:47.933823 ---]
[--- @28:        loss(train)=0.4959      f1(train)=0.7943        f1(eval)=0.7042         time(epoch)=0:00:48.401597 ---]
[--- @29:        loss(train)=0.4913      f1(train)=0.7909        f1(eval)=0.6963         time(epoch)=0:00:49.219193 ---]
[--- @30:        loss(train)=0.4824      f1(train)=0.7997        f1(eval)=0.6967         time(epoch)=0:00:48.609032 ---]
[--- @31:        loss(train)=0.4735      f1(train)=0.8092        f1(eval)=0.6942         time(epoch)=0:00:48.329785 ---]
[--- @32:        loss(train)=0.4674      f1(train)=0.8208        f1(eval)=0.6910         time(epoch)=0:00:48.287811 ---]
[--- @33:        loss(train)=0.4573      f1(train)=0.8227        f1(eval)=0.6952         time(epoch)=0:00:48.075412 ---]
[--- @34:        loss(train)=0.4495      f1(train)=0.8347        f1(eval)=0.6896         time(epoch)=0:00:47.784960 ---]
[--- @35:        loss(train)=0.4418      f1(train)=0.8398        f1(eval)=0.6942         time(epoch)=0:00:47.820989 ---]
[--- @36:        loss(train)=0.4329      f1(train)=0.8468        f1(eval)=0.6891         time(epoch)=0:00:48.078027 ---]
[--- @37:        loss(train)=0.4184      f1(train)=0.8539        f1(eval)=0.6787         time(epoch)=0:00:47.914921 ---]
[--- @38:        loss(train)=0.4115      f1(train)=0.8613        f1(eval)=0.6861         time(epoch)=0:00:47.980429 ---]
[--- @39:        loss(train)=0.4028      f1(train)=0.8704        f1(eval)=0.6869         time(epoch)=0:00:48.031713 ---]
[--- @40:        loss(train)=0.3974      f1(train)=0.8733        f1(eval)=0.6910         time(epoch)=0:00:47.804513 ---]

[--- EVALUATION ---]
[--- AVG         tp:  4375       fp:  1956       tn:  4373       fn:  1956       prec=0.691      rec=0.691       f1=0.691        acc=0.691---]
[--- Neutral     tp:  2001       fp:   891       tn:  1999       fn:  1065       prec=0.692      rec=0.653       f1=0.672        acc=0.672---]
[--- Colored     tp:  2374       fp:  1065       tn:  2374       fn:   891       prec=0.690      rec=0.727       f1=0.708        acc=0.708---]
